# New data format
R209 17
beam = pp
ecm = 62.0
# QMin QMax ymin ymax pT data uncorr_error yk efficiency corr_1 corr_2 etc.
5.000   8.000  0.0 6.0  0.200  1.050E+02  1.300E+01  -0.81  1.00  10.00  10.0 0.00
5.000   8.000  0.0 6.0  0.600  9.380E+01  9.800E+00   1.02  1.00  10.00  10.0 0.00 
5.000   8.000  0.0 6.0  1.000  5.700E+01  5.000E+00   1.36  1.00  10.00  10.0 0.00 
5.000   8.000  0.0 6.0  1.400  3.620E+01  3.500E+00   1.47  1.00  10.00  10.0 0.00 
5.000   8.000  0.0 6.0  1.800  2.350E+01  2.800E+00   1.51  1.00  10.00  10.0 0.00 
8.000  11.000  0.0 6.0  0.200  1.100E+01  3.000E+00  -0.58  1.00  10.00  0.00 10.0 
8.000  11.000  0.0 6.0  0.600  1.220E+01  2.000E+00   1.06  1.00  10.00  0.00 10.0 
8.000  11.000  0.0 6.0  1.000  8.400E+00  1.200E+00   1.39  1.00  10.00  0.00 10.0 
8.000  11.000  0.0 6.0  1.400  4.950E+00  6.500E-01   1.52  1.00  10.00  0.00 10.0 
8.000  11.000  0.0 6.0  1.800  3.000E+00  6.000E-01   1.57  1.00  10.00  0.00 10.0 
